Date Vps1 Ips1 Vps2 Ips2
2019-03-20 06:29:51.239000 0.55 0.014 0.32 0.01
2019-03-20 06:49:52.141000 0.55 0.014 0.32 0.01
2019-03-20 07:09:53.523000 0.55 0.014 0.32 0.01
2019-03-20 07:29:55.475000 0.55 0.014 0.32 0.01
2019-03-20 07:49:56.917000 0.55 0.014 0.32 0.01
2019-03-20 08:09:58.989000 0.55 0.014 0.32 0.01
2019-03-20 08:29:59.941000 0.55 0.014 0.32 0.01
2019-03-20 08:50:01.963000 0.55 0.014 0.32 0.01
2019-03-20 09:10:03.585000 0.55 0.014 0.32 0.01
2019-03-20 09:30:05.967000 0.55 0.014 0.32 0.01
2019-03-20 09:50:07.279000 0.55 0.014 0.32 0.01
2019-03-20 10:10:08.620000 0.55 0.014 0.32 0.01
2019-03-20 10:30:10.555000 0.55 0.014 0.32 0.01
2019-03-20 10:50:12.157000 0.55 0.014 0.32 0.01
2019-03-20 11:10:12.829000 0.55 0.014 0.32 0.01
2019-03-20 11:30:14.131000 0.55 0.014 0.32 0.01
2019-03-20 11:50:15.473000 0.55 0.014 0.32 0.01
2019-03-20 12:10:16.525000 0.55 0.014 0.32 0.01
2019-03-20 12:30:17.887000 0.55 0.014 0.32 0.01
2019-03-20 12:50:19.819000 0.55 0.014 0.32 0.01
2019-03-20 13:10:20.401000 0.55 0.014 0.32 0.01
2019-03-20 13:30:21.223000 0.55 0.014 0.32 0.01
2019-03-20 13:50:23.515000 0.55 0.014 0.32 0.01
2019-03-20 14:10:24.767000 0.55 0.014 0.32 0.01
2019-03-20 14:30:26.929000 0.55 0.014 0.32 0.01
2019-03-20 14:50:28.071000 0.55 0.014 0.32 0.01
2019-03-20 15:10:29.453000 0.55 0.014 0.32 0.01
2019-03-20 15:30:30.685000 0.55 0.014 0.32 0.01
2019-03-20 15:50:31.867000 0.55 0.014 0.32 0.01
2019-03-20 16:10:31.919000 0.55 0.014 0.32 0.01
2019-03-20 16:30:32.731000 0.55 0.014 0.32 0.01
2019-03-20 16:50:33.143000 0.55 0.014 0.32 0.01
2019-03-20 17:10:34.595000 0.55 0.014 0.32 0.01
2019-03-20 17:30:35.877000 0.55 0.014 0.32 0.01
2019-03-20 17:50:36.369000 0.55 0.014 0.32 0.01
2019-03-20 18:10:36.761000 0.55 0.014 0.32 0.01
2019-03-20 18:30:36.843000 0.55 0.014 0.32 0.01
2019-03-20 18:50:38.165000 0.55 0.014 0.32 0.01
2019-03-20 19:10:39.337000 0.55 0.014 0.32 0.01
2019-03-20 19:30:40.499000 0.55 0.014 0.32 0.01
2019-03-20 19:50:41.981000 0.55 0.014 0.32 0.01
2019-03-20 20:10:43.003000 0.55 0.014 0.32 0.01
2019-03-20 20:30:44.185000 0.55 0.014 0.32 0.01
2019-03-20 20:50:44.967000 0.55 0.014 0.32 0.01
2019-03-20 21:10:46.139000 0.55 0.014 0.32 0.01
2019-03-20 21:30:46.691000 0.55 0.014 0.32 0.01
